"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage","is_innate"
"+200 Health","","","","","","","","","","","","","",""
"+200 Illuminate Damage","","","","","","","","","","","","","",""
"+200 Initial/Break Dream Coil Damage","","","","","","","","","","","","","",""
"+200 Mana","","","","","","","","","","","","","",""
"+200 Mana Void Radius","","","","","","","","","","","","","",""
"+200 Midnight Pulse Radius","","","","","","","","","","","","","",""
"+200 Phantom Strike Cast Range","","","","","","","","","","","","","",""
"+200 Rolling Boulder Distance","","","","","","","","","","","","","",""
"+200 Swashbuckle Slash Range","","","","","","","","","","","","","",""
"+200 Thunder Clap AoE","","","","","","","","","","","","","",""
"+200 Vision","","","","","","","","","","","","","",""
"+200/+10 Hand of God Heal/Heal Over Time","","","","","","","","","","","","","",""
"+210 Gold/Min","","","","","","","","","","","","","",""
"+225 Attack Speed","","","","","","","","","","","","","",""
"+225 Cast Range","","","","","","","","","","","","","",""
"+225 Health","","","","","","","","","","","","","",""
"+225 Mana","","","","","","","","","","","","","",""
"+225 Reality Rift Pull Distance","","","","","","","","","","","","","",""
"+24 Battery Assault Damage","","","","","","","","","","","","","",""
"+24% Critical Strike (200%)","","","","","","","","","","","","","",""
"+240 Fireblast Damage","","","","","","","","","","","","","",""
"+240 Gold/Min","","","","","","","","","","","","","",""
"+25 Agility","","","","","","","","","","","","","",""
"+25 Astral Spirit Hero Attack","","","","","","","","","","","","","",""
"+25 Attack Speed","","","","","","","","","","","","","",""
"+25 Base Damage","","","","","","","","","","","","","",""
"+25 Berserker's Rage Movement Speed","","","","","","","","","","","","","",""
"+25 Bloodrage Attack Speed","","","","","","","","","","","","","",""
"+25 Counter Helix Damage","","","","","","","","","","","","","",""
"+25 Damage","","","","","","","","","","","","","",""
"+25 Dark Ascension Damage","","","","","","","","","","","","","",""
"+25 Flak Cannon Damage","","","","","","","","","","","","","",""
"+25 Health Regen","","","","","","","","","","","","","",""
"+25 Intelligence","","","","","","","","","","","","","",""
"+25 Mana Break","","","","","","","","","","","","","",""
"+25 Movement Speed","","","","","","","","","","","","","",""
"+25 Movement Speed after Heavenly Jump","","","","","","","","","","","","","",""
"+25 Nature's Grasp Damage","","","","","","","","","","","","","",""
"+25 Sand Storm Damage Per Second","","","","","","","","","","","","","",""
"+25 Soul Assumption Damage Per Charge","","","","","","","","","","","","","",""
"+25 Spell AoE","","","","","","","","","","","","","",""
"+25 Spirit Siphon Damage/Heal","","","","","","","","","","","","","",""
"+25 Strength","","","","","","","","","","","","","",""
"+25 Tag Team Damage","","","","","","","","","","","","","",""
"+25% Cleave","","","","","","","","","","","","","",""
"+25% Evasion","","","","","","","","","","","","","",""
"+25% Feral Impulse Damage","","","","","","","","","","","","","",""
"+25% Glaives of Wisdom Damage","","","","","","","","","","","","","",""
"+25% Great Cleave Damage","","","","","","","","","","","","","",""
"+25% Greater Bash Damage","","","","","","","","","","","","","",""
"+25% Heartstopper Regen Reduction","","","","","","","","","","","","","",""
"+25% Homing Missile Damage","","","","","","","","","","","","","",""
"+25% Icarus Dive Slow","","","","","","","","","","","","","",""
"+25% Lifesteal","","","","","","","","","","","","","",""
"+25% Magic Resistance","","","","","","","","","","","","","",""
"+25% Magic Resistance During Trample","","","","","","","","","","","","","",""
"+25% Multishot Damage","","","","","","","","","","","","","",""
"+25% Open Wounds Lifesteal","","","","","","","","","","","","","",""
"+25% Spell Amplification","","","","","","","","","","","","","",""
"+25% Spell Lifesteal","","","","","","","","","","","","","",""
"+25% Status Resistance","","","","","","","","","","","","","",""
"+25% Storm Surge Slow and Damage","","","","","","","","","","","","","",""
"+25% Wraithfire Blast Impact Damage/DPS","","","","","","","","","","","","","",""
"+25% X Marks the Spot Move Speed","","","","","","","","","","","","","",""
"+25% XP Gain","","","","","","","","","","","","","",""
"+25.0% Soulbind Spell Damage","","","","","","","","","","","","","",""
"+250 AoE Hex","","","","","","","","","","","","","",""
"+250 Attack Range","","","","","","","","","","","","","",""
"+250 Attack Speed","","","","","","","","","","","","","",""
"+250 Cast Range","","","","","","","","","","","","","",""
"+250 Damage","","","","","","","","","","","","","",""
"+250 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '250', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl10_l.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","","",""
"+250 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '250', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl10_r.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","","",""
"+250 Goo Cast Range","","","","","","","","","","","","","",""
"+250 Health","","","","","","","","","","","","","",""
"+250 Mana","","","","","","","","","","","","","",""
"+250 Max Health Aura to Beastmaster and his units","","","","","","","","","","","","","",""
"+250 Shuriken Toss Damage","","","","","","","","","","","","","",""
"+250 Sonic Wave Damage","","","","","","","","","","","","","",""
"+250 Starstorm Damage","","","","","","","","","","","","","",""
"+250 Waveform Range","","","","","","","","","","","","","",""
"+251 Damage","","","","","","","","","","","","","",""
"+252 Damage","","","","","","","","","","","","","",""
"+25HP/s Cold Embrace Heal","","","","","","","","","","","","","",""
"+275 Attack Range","","","","","","","","","","","","","",""
"+275 Brain Sap Damage/Heal","","","","","","","","","","","","","",""
"+275 Cast Range","","","","","","","","","","","","","",""
"+275 Health","","","","","","","","","","","","","",""
"+275 Mana","","","","","","","","","","","","","",""
"+275 Skewer Range","","","","","","","","","","","","","",""
"+2s Grave Chill Duration","","","","","","","","","","","","","",""
"+2s Guardian Angel Duration","","","","","","","","","","","","","",""
"+2s Kinetic Field Duration","","","","","","","","","","","","","",""
"+2s Life Break Slow Duration","","","","","","","","","","","","","",""
"+2s Rolling Thunder Duration","","","","","","","","","","","","","",""
"+2s Sadist Stack Duration","","","","","","","","","","","","","",""
"+2s Whirling Axes Debuff Duration","","","","","","","","","","","","","",""
"+3 Armor","","","","","","","","","","","","","",""
"+3 Flak Cannon Attacks","","","","","","","","","","","","","",""
"+3 Hits to Kill Phantom","","","","","","","","","","","","","",""
"+3 Howl Armor Reduction","","","","","","","","","","","","","",""
"+3 Mana Regen","","","","","","","","","","","","","",""
"+3 Meld Armor Reduction","","","","","","","","","","","","","",""
"+3 Mystic Snake Bounces","","","","","","","","","","","","","",""
"+3 Overpower Attacks","","","","","","","","","","","","","",""
"+3 Refraction Instances","","","","","","","","","","","","","",""
"+3 Repel Strength/HP Regen per Debuff","","","","","","","","","","","","","",""
"+3 Strength","","","","","","","","","","","","","",""
"+3% Ghoul Frenzy Movement Speed","","","","","","","","","","","","","",""
"+3% Spell Amplification","","","","","","","","","","","","","",""
"+3% Whirling Death Stat Loss","","","","","","","","","","","","","",""
"+30 Agility","","","","","","","","","","","","","",""
"+30 Alacrity Damage/Speed","","","","","","","","","","","","","",""
"+30 Armor","","","","","","","","","","","","","",""
"+30 Attack Speed","","","","","","","","","","","","","",""
"+30 Attack Speed for Enchantress and her units","","","","","","","","","","","","","",""
"+30 Base Damage","","","","","","","","","","","","","",""
"+30 Bedlam Damage","","","","","","","","","","","","","",""
"+30 Bloodlust Attack Speed","","","","","","","","","","","","","",""
"+30 Damage","","","","","","","","","","","","","",""
"+30 Damage to Beastmaster and his units","","","","","","","","","","","","","",""
"+30 Entangling Claws DPS","","","","","","","","","","","","","",""
"+30 Feast of Souls Attack Speed","","","","","","","","","","","","","",""
"+30 Gold/Min","","","","","","","","","","","","","",""
"+30 Headshot Damage","","","","","","","","","","","","","",""
"+30 Health Regen","","","","","","","","","","","","","",""
"+30 Intelligence","","","","","","","","","","","","","",""
"+30 Jinada Damage","","","","","","","","","","","","","",""
"+30 Movement Speed","","","","","","","","","","","","","",""
"+30 Movespeed during Nature's Attendants","","","","","","","","","","","","","",""
"+30 Plasma Field Damage","","","","","","","","","","","","","",""
"+30 Pulse Nova Damage","","","","","","","","","","","","","",""
"+30 Shadowraze Stack Damage","","","","","","","","","","","","","",""
"+30 Spirit Bear Movement Speed","","","","","","","","","","","","","",""
"+30 Strength","","","","","","","","","","","","","",""
"+30 Time Lock Damage","","","","","","","","","","","","","",""
"+30 Wrath of Nature Base Damage","","","","","","","","","","","","","",""
"+30% Anchor Smash Damage Reduction","","","","","","","","","","","","","",""
"+30% Berserker's Blood Regen","","","","","","","","","","","","","",""
"+30% Bulwark Active Redirect Chance","","","","","","","","","","","","","",""
"+30% Cast Speed","","","","","","","","","","","","","",""
"+30% Chaos Strike Lifesteal","","","","","","","","","","","","","",""
"+30% Cinder Brew Damage/Duration","","","","","","","","","","","","","",""
"+30% Cleave","","","","","","","","","","","","","",""
"+30% Critical Strike (200%)","","","","","","","","","","","","","",""
"+30% Decrepify Movement Speed To Allies","","","","","","","","","","","","","",""
"+30% Double Edge Strength Damage","","","","","","","","","","","","","",""
"+30% Evasion","","","","","","","","","","","","","",""
"+30% Haunt Illusion Damage","","","","","","","","","","","","","",""
"+30% Incapacitating Bite Slow/Miss Chance","","","","","","","","","","","","","",""
"+30% Lifesteal","","","","","","","","","","","","","",""
"+30% Magic Resistance","","","","","","","","","","","","","",""
"+30% Magnetize Damage & Duration","","","","","","","","","","","","","",""
"+30% Maledict Burst Damage","","","","","","","","","","","","","",""
"+30% Purifying Flames Enemy Damage","","","","","","","","","","","","","",""
"+30% Rip Tide Damage","","","","","","","","","","","","","",""
"+30% Spell Lifesteal","","","","","","","","","","","","","",""
"+30% XP Gain","","","","","","","","","","","","","",""
"+300 Attack Range","","","","","","","","","","","","","",""
"+300 Cast Range","","","","","","","","","","","","","",""
"+300 Chilling Touch Attack Range","","","","","","","","","","","","","",""
"+300 Cold Feet Breaking distance","","","","","","","","","","","","","",""
"+300 Crystal Nova Damage","","","","","","","","","","","","","",""
"+300 Gold/Min","","","","","","","","","","","","","",""
"+300 Health","","","","","","","","","","","","","",""
"+300 Mana","","","","","","","","","","","","","",""
"+300 Phantom Rush Range","","","","","","","","","","","","","",""
"+300 Poison Touch Attack Range","","","","","","","","","","","","","",""
"+300 Waning Rift Radius/Max Distance","","","","","","","","","","","","","",""
"+30s Metamorphosis Duration","","","","","","","","","","","","","",""
"+325 Attack Range","","","","","","","","","","","","","",""
"+325 Cast Range","","","","","","","","","","","","","",""
"+325 Health","","","","","","","","","","","","","",""
"+35 Attack Speed","","","","","","","","","","","","","",""
"+35 Attack Speed against Shadow Striked units","","","","","","","","","","","","","",""
"+35 Base Damage","","","","","","","","","","","","","",""
"+35 Damage","","","","","","","","","","","","","",""
"+35 Health Regen","","","","","","","","","","","","","",""
"+35 Intelligence","","","","","","","","","","","","","",""
"+35 Mana Break","","","","","","","","","","","","","",""
"+35 Mist Coil Heal/Damage","","","","","","","","","","","","","",""
"+35 Movement Speed","","","","","","","","","","","","","",""
"+35 Overwhelming Odds Damage per Hero","","","","","","","","","","","","","",""
